url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1508/home/170475636,"Jun 17, 2024",Listed,"$595,000",X9440870
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-508/home/178703298,"Aug 15, 2022",Sold (MLS) (Sold),"$585,000",X5690671
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-508/home/178703298,"Jul 9, 2022",Listed (Active),"$599,900",X5690671
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-508/home/178703298,"Mar 19, 2022",Listed (Active),"$599,900",X5542540
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Mar 18, 2025",Sold (MLS) (Closed),"$585,000",X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Feb 12, 2025",Price Changed,"$589,000",X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Nov 18, 2024",Price Changed,"$624,900",X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Nov 1, 2024",Listed (Active),"$649,900",X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Nov 1, 2024",Delisted,—,X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Oct 4, 2024",Listed (Active),"$649,900",X9523033
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Oct 25, 2024",Delisted,—,X9461109
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-802/home/170501327,"Oct 4, 2024",Listed (Active),"$649,900",X9461109
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1001/home/190041522,"Apr 8, 2024",Sold (MLS),"$595,000",X9450021
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1001/home/190041522,"Mar 7, 2024",Listed,"$599,900",X9450021
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1105/home/190802116,"Aug 29, 2024",Sold (MLS),"$715,000",X9446714
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1105/home/190802116,"May 15, 2024",Listed,"$725,000",X9446714
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1608/home/193663837,"Dec 12, 2024",Sold (MLS) (Closed),"$587,500",X10441694
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-5K3/unit-1608/home/193663837,"Nov 22, 2024",Listed (Active),"$605,000",X10441694
https://www.redfin.ca/on/ottawa/1035-Connery-Ave-K1G-2N9/home/149094236,"Mar 6, 2025",Sold (MLS) (Closed),"$550,000",X11993042
https://www.redfin.ca/on/ottawa/1035-Connery-Ave-K1G-2N9/home/149094236,"Feb 28, 2025",Listed (Active),"$599,900",X11993042
https://www.redfin.ca/on/ottawa/1035-Karsh-Dr-K1G-4N2/home/149076573,"Apr 17, 2025",Sold (MLS) (Closed),"$775,000",X12048054
https://www.redfin.ca/on/ottawa/1035-Karsh-Dr-K1G-4N2/home/149076573,"Mar 28, 2025",Listed (Active),"$799,900",X12048054
https://www.redfin.ca/on/ottawa/1035-Karsh-Dr-K1G-4N2/home/149076573,"Mar 6, 2025",Relisted (Active),—,X11982174
https://www.redfin.ca/on/ottawa/1035-Karsh-Dr-K1G-4N2/home/149076573,"Feb 25, 2025",Price Changed,"$799,900",X11982174
https://www.redfin.ca/on/ottawa/1035-Karsh-Dr-K1G-4N2/home/149076573,"Feb 21, 2025",Listed (Active),"$850,000",X11982174
https://www.redfin.ca/on/ottawa/1038-Cromwell-Dr-K1V-6K5/home/149717313,"Nov 20, 2024",Sold (MLS),"$872,000",X9457217
https://www.redfin.ca/on/ottawa/1038-Cromwell-Dr-K1V-6K5/home/149717313,"Sep 16, 2024",Listed,"$849,900",X9457217
https://www.redfin.ca/on/ottawa/1038-Marconi-Ave-K2W-0C8/home/149176305,"Feb 26, 2025",Sold (MLS) (Closed),"$645,000",X11956820
https://www.redfin.ca/on/ottawa/1038-Marconi-Ave-K2W-0C8/home/149176305,"Feb 21, 2025",Listed (Active),"$649,900",X11956820
https://www.redfin.ca/on/ottawa/1038-Marconi-Ave-K2W-0C8/home/149176305,"Feb 14, 2025",Sold (MLS) (Closed),"$645,000",X11956820
